Q1,Q5_1,Q5_2,Q5_3,Q5_4,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q7,Q7_1,Q7_2,Q7_3,Q7_4,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q14
1,18.489,142.064,142.9,19,6,7,5,3,4,7,6,7,5,5,4,6,6,5,7,1,5.167,19.863,21.03,17,4,5,2,5,4,2,4,6,1,2,3,2,3,7,7,3,0,0,12.414,0,2,4,4,4,6,5,7,6,5,6,5,6,6,7,4,2
1,6.196,94,95.179,18,5,6,6,6,6,6,5,4,5,7,6,7,7,7,7,1,4.567,25.516,26.942,16,2,5,7,3,6,3,4,1,6,3,4,5,5,2,1,3,13.283,13.283,14.501,1,2,6,7,1,2,1,1,5,4,5,6,6,6,6,3,2
1,6.876,64.784,66.112,22,7,7,5,6,6,6,7,7,5,4,5,6,7,5,7,1,6.709,29.959,38.092,16,1,5,2,3,1,6,3,5,6,2,3,7,2,5,4,3,0,0,29.402,0,7,5,3,6,3,4,1,5,4,7,5,2,2,7,6,2
1,6.511,56.355,57.878,18,6,6,4,3,5,5,6,6,7,5,4,6,3,6,7,1,7.179,28.252,30.06,17,1,4,6,4,2,5,7,5,3,2,5,6,3,4,2,3,41.222,41.222,43.4,1,2,2,1,4,3,3,7,1,3,3,7,1,5,1,7,2
1,9.775,80.947,81.711,17,5,7,5,7,5,7,4,6,5,7,7,6,7,3,7,1,11.395,27.808,33.294,16,4,3,6,5,3,3,6,6,3,7,1,1,4,2,2,3,0,0,13.536,0,3,5,7,1,3,3,3,5,5,3,3,5,5,3,1,2
1,30.582,70.152,70.708,16,5,3,2,1,2,3,3,6,3,5,1,3,3,5,7,1,10.056,38.752,39.711,18,5,3,7,4,3,3,5,7,2,3,6,1,5,5,4,3,18.637,80.599,81.533,16,5,3,4,3,3,3,5,5,3,5,2,3,5,5,7,2
1,6.888,65.353,66.567,17,6,5,4,7,5,6,4,6,6,6,5,6,5,5,7,1,1.964,16.764,19.785,15,4,6,3,4,4,5,6,1,3,4,6,4,2,4,3,3,0,0,92.753,0,1,3,5,5,7,2,1,2,7,3,4,5,7,7,6,2
1,5.588,62.093,63.014,15,6,6,6,7,7,7,7,7,7,7,6,7,7,7,7,1,2.176,20.786,30.186,19,3,3,5,7,1,5,2,3,4,3,3,6,7,1,2,3,0,0,11.05,0,1,6,1,4,4,3,1,1,7,5,3,6,7,6,4,2
1,9.423,101.008,103.536,19,7,7,4,7,5,7,6,7,4,4,7,7,7,7,7,1,7.989,32.709,34.442,16,3,5,5,4,1,4,2,4,7,2,3,6,6,7,3,3,14.207,14.207,16.212,1,7,6,7,6,4,6,1,2,2,3,2,6,1,1,4,2
1,6.963,33.757,34.781,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,1,1.183,15.762,16.948,16,3,7,6,5,5,1,6,2,1,6,4,5,1,5,6,3,14.627,29.909,31.122,4,5,5,4,2,5,5,5,5,2,5,7,6,7,1,7,2
1,10.015,189.305,191.15,17,6,5,4,6,7,7,5,6,4,3,5,4,7,5,7,1,4.477,44.585,45.899,19,2,5,3,7,5,1,3,5,3,7,1,6,4,4,2,3,41.412,45.835,46.919,2,6,4,2,4,3,4,5,2,3,1,6,2,1,2,2,2
1,9.618,82.673,86.686,18,6,5,4,7,6,5,5,6,6,7,6,7,7,7,7,1,4.458,21.527,23.673,15,6,4,3,2,2,1,5,2,5,7,6,4,3,1,3,3,0,0,49.375,0,6,4,7,5,3,2,5,1,1,1,7,3,3,2,2,2
1,5.818,97.088,98.457,27,7,7,6,7,3,7,6,6,7,7,7,6,4,6,7,1,6.977,54.475,55.832,19,7,5,5,2,2,4,5,2,4,1,5,1,6,1,1,3,2.238,112.24,113.609,24,7,7,7,7,4,7,7,6,6,7,7,6,4,7,7,2
1,11.343,70.032,70.073,40,6,5,6,6,6,6,5,5,5,6,6,7,6,6,7,1,3.444,16.063,26.077,39,3,4,3,6,3,5,4,2,4,6,4,5,6,6,4,3,0,0,19.868,0,2,1,1,6,5,1,6,7,6,4,1,1,1,7,5,2
1,12.082,57.944,58.897,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1,5.876,23.221,24.579,15,6,6,5,6,7,4,5,6,6,6,4,4,5,4,5,3,108.151,108.151,112.525,1,2,6,7,3,3,1,5,6,2,5,7,5,6,1,6,2
1,18.5,101.712,103.447,25,7,6,6,6,6,7,6,6,7,6,6,7,7,7,7,1,6.091,28.382,31.503,17,2,6,5,6,3,5,4,5,4,1,2,7,3,4,4,3,66.015,66.015,67.586,1,2,7,6,1,2,5,2,4,1,5,3,2,6,6,4,2
1,8.848,58.365,61.909,20,7,5,7,7,4,7,6,7,6,6,7,7,7,6,7,1,6.624,14.795,24.288,14,3,3,5,3,2,5,4,4,4,5,7,3,2,4,6,3,9.169,9.169,26.21,1,4,1,6,3,1,5,5,6,6,4,2,7,7,3,6,2
1,8.604,78.549,80.104,16,4,5,7,6,4,5,7,5,5,6,4,6,6,5,7,1,4.036,44.63,46.376,16,3,4,2,5,3,6,4,5,7,7,1,3,6,1,2,3,0,0,45.433,0,5,5,2,4,2,7,7,2,3,5,5,3,3,4,4,2
1,11.369,78.743,79.959,18,5,7,6,5,6,3,5,4,3,5,4,6,6,5,7,1,6.676,20.643,26.88,15,3,2,5,2,4,3,3,4,7,3,4,5,2,6,4,3,39.824,39.824,44.871,1,4,7,7,6,1,5,1,5,4,6,1,2,6,1,6,2
1,6.479,60.031,61.207,16,6,6,5,6,5,6,6,5,6,5,6,6,7,6,7,1,2.637,22.299,23.139,15,4,3,4,5,6,3,3,3,5,7,6,2,5,4,5,3,0,0,47.57,0,3,3,6,1,5,1,4,1,6,5,1,7,2,6,4,2
1,6.431,83.253,111.562,16,5,6,5,7,6,5,5,5,5,7,5,6,7,6,7,1,4.506,29.5,31.287,16,1,2,7,4,3,3,5,4,5,3,4,1,7,5,2,3,38.963,49.07,51.742,2,3,3,3,1,3,1,3,7,1,4,6,4,5,1,7,2
1,0,0,13.763,0,7,5,2,3,7,2,7,4,5,3,6,5,7,4,3,2,6.46,24.748,33.896,17,5,5,6,6,6,6,5,5,5,6,6,5,5,6,5,1,0.486,9.573,10.266,19,6,4,3,4,3,4,3,7,5,3,4,4,2,2,3,3
1,6.464,77.9,79.049,16,7,7,7,7,5,7,6,7,6,5,7,7,7,6,7,1,44.529,64.896,66.777,16,3,7,4,7,4,2,2,3,2,7,7,5,5,2,4,3,23.119,28.445,29.857,2,6,3,2,3,4,5,2,6,1,1,5,6,5,6,2,2
1,19.542,92.073,93.28,18,7,7,6,6,7,7,5,7,6,6,5,5,7,6,7,1,3.452,38.005,39.677,17,4,5,2,4,7,4,2,3,1,6,5,2,3,3,1,3,27.728,27.728,29.434,1,5,2,1,1,5,2,5,7,7,1,3,5,1,7,6,2
1,23.914,23.914,26.456,1,6,6,1,6,1,2,7,3,7,3,4,2,6,6,3,2,1.748,43.002,44.967,17,3,6,3,1,5,2,7,5,1,6,4,5,2,3,4,3,5.119,76.05,77.478,18,7,7,6,5,4,7,7,4,6,6,5,7,7,7,7,1
1,12.545,46.575,47.222,16,6,5,6,7,4,6,5,5,5,7,5,6,7,6,7,1,21.89,48.518,50.295,17,4,2,5,3,4,3,3,5,3,7,6,4,2,1,4,3,4.311,61.43,64.362,19,6,4,7,7,4,5,4,5,5,7,5,6,7,6,7,1
1,5.782,45.944,47.133,15,6,7,4,7,4,5,5,5,6,7,6,7,7,5,7,1,3.227,16.879,18.516,16,4,5,5,3,5,1,3,7,4,3,3,5,5,3,2,3,39.104,39.104,43.337,1,6,1,6,2,3,5,6,7,3,4,2,4,5,7,3,2
,17.282,112.542,113.456,23,5,4,5,4,6,7,7,6,6,6,3,7,7,6,7,1,3.84,46.459,47.767,33,5,6,6,7,3,5,5,4,2,1,2,4,2,4,3,3,99.864,114.543,180.19,7,4,2,7,5,7,1,3,4,7,1,1,6,6,2,2,2
1,5.822,82.881,84.115,18,4,6,4,5,6,7,4,6,4,6,2,4,2,4,7,1,4.53,34.429,36.202,18,3,5,1,2,7,5,3,5,4,6,1,2,1,4,4,3,114.001,119.709,120.535,2,7,6,1,7,7,6,5,7,7,4,7,2,1,7,2,2
1,7.435,43.788,46.723,15,6,7,5,5,6,7,6,6,7,7,5,7,6,6,7,1,9.085,28.673,36.191,17,4,5,4,4,3,1,2,4,3,7,7,3,1,5,2,3,0,0,15.477,0,1,6,2,6,6,7,3,5,3,6,5,7,2,7,5,2
1,3.641,72.665,73.46,17,6,7,6,6,5,7,7,6,5,7,7,6,6,6,7,1,4.882,29.824,30.566,19,5,5,6,5,6,7,6,7,4,6,4,5,7,6,5,3,6.058,16.382,17.188,3,4,1,4,1,3,1,2,6,7,7,3,1,7,4,5,2
,1.526,58.73,59.336,52,5,7,5,7,2,7,6,3,7,7,4,4,7,5,7,1,2.416,25.287,26.01,41,6,5,2,7,2,6,3,5,6,6,2,6,6,6,2,3,6.896,22.569,23.338,46,5,5,1,6,2,5,5,3,2,7,6,6,1,6,2,2
1,14.381,21.913,22.596,2,1,2,2,6,7,4,2,5,5,4,4,6,3,2,2,2,8.248,48.932,49.717,15,7,7,5,5,1,6,6,5,5,7,2,7,6,5,7,1,1.537,35.639,36.827,19,3,6,1,1,2,4,6,3,4,5,7,2,3,1,2,3
1,13.957,57.962,58.876,16,6,7,6,7,6,6,6,6,6,7,5,6,6,5,7,1,10.267,45.201,48.013,18,3,5,3,4,6,7,6,5,5,4,4,1,3,2,4,3,32.588,32.588,38.192,1,5,2,3,1,7,7,3,3,3,5,6,5,1,5,1,2
1,7.596,61.157,62.088,44,6,7,6,6,7,6,6,6,5,6,6,6,7,6,6,1,8.834,32.786,33.627,28,5,4,1,2,7,1,3,7,7,2,6,3,1,1,7,3,12.519,13.062,14.566,2,3,2,6,5,2,6,2,1,6,2,3,3,1,1,4,2
1,6.985,50.597,52.867,15,6,6,5,5,6,7,6,6,6,5,5,7,6,6,7,1,3.734,28.588,31.715,17,5,3,1,2,2,5,3,4,7,1,5,6,5,2,5,3,0,0,21.281,0,5,7,7,4,5,4,6,5,4,4,7,7,4,4,6,2
1,10.875,62.238,63.879,15,3,4,3,3,5,5,5,4,5,5,3,7,6,3,7,1,6.715,27.272,29.01,15,4,3,5,4,2,4,3,1,6,6,7,1,2,3,5,3,0,0,50.487,0,1,7,7,3,6,4,3,4,6,6,5,4,6,2,1,2
1,2.627,30.713,31.637,15,6,6,5,3,6,5,5,4,5,7,5,6,5,6,7,1,3.459,22.985,23.883,17,4,3,6,1,3,5,3,1,2,6,6,6,7,2,1,3,0,0,10.784,0,6,7,1,2,4,2,6,7,4,3,4,6,3,5,6,2
1,710.265,857.359,858.997,16,6,6,7,6,6,7,7,7,5,7,7,7,7,7,7,1,2.612,40.336,42.457,16,4,3,6,1,4,7,2,1,2,3,3,6,5,3,7,3,30.228,30.228,37.869,1,1,6,4,6,3,1,7,5,1,5,1,5,6,3,2,2
1,11.44,80.344,81.231,16,5,5,3,3,3,6,6,5,5,3,6,5,7,6,7,1,3.659,19.019,20.122,15,5,6,6,7,6,5,4,4,3,6,7,5,3,6,2,3,0,0,13.077,0,2,6,7,5,5,2,3,4,4,7,5,2,3,1,2,2
1,2.3,17.963,20.166,16,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,1,2.224,9.88,11.435,19,7,7,6,7,5,6,7,7,6,6,6,7,6,6,7,3,0,0,3.762,0,4,5,2,4,7,5,7,3,1,3,6,2,4,4,3,2
1,10.055,61.164,62.846,15,6,7,3,6,5,7,3,6,5,5,3,6,7,5,7,1,5.71,19.199,22.408,15,6,1,2,5,4,1,3,5,6,5,6,4,4,2,6,3,0,0,16.563,0,1,3,1,1,7,4,5,7,4,2,2,6,6,7,5,2
1,1.863,1026.017,1027.577,18,5,7,6,6,5,7,6,6,6,7,6,7,7,6,7,1,2.718,20.317,21.264,16,2,3,4,4,5,6,5,7,4,4,5,5,3,3,3,3,111.888,133.879,135.18,16,5,5,3,6,6,4,1,5,5,5,6,4,6,6,3,2
1,21.569,146.352,147.511,21,6,6,5,7,4,6,4,6,4,6,6,5,7,6,7,1,3.539,16.609,28.152,16,5,4,3,5,4,2,6,3,6,3,3,6,1,6,4,3,0,0,18.699,0,6,4,1,1,7,2,3,2,1,4,3,1,1,2,5,2
1,12.149,80.978,82.563,17,7,4,4,6,5,5,4,7,4,6,4,7,6,6,7,1,26.323,38.775,43.854,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,13.859,24.929,25.522,3,6,6,4,4,7,4,1,3,2,6,4,7,4,7,5,2
,4.589,50.288,51.385,15,6,5,5,7,4,6,6,3,6,6,5,6,5,6,7,1,2.951,31.11,31.984,17,5,2,6,5,5,3,3,3,1,3,1,3,1,7,3,3,0,0,19.963,0,5,2,4,6,4,1,2,2,6,2,4,6,7,1,5,2
1,6.458,57.291,58.092,15,6,7,5,5,5,7,6,7,5,7,5,5,7,5,7,1,1.14,26.012,33.512,16,3,4,7,4,2,6,1,4,2,1,2,1,5,3,3,3,48.88,48.88,55.02,1,5,7,2,3,2,4,3,7,5,1,5,2,2,4,1,2
1,2.643,41.551,42.324,17,6,7,6,6,6,6,7,6,6,6,6,6,6,6,7,2,13.012,28.524,29.846,15,3,3,2,5,2,5,6,2,7,1,4,1,6,4,3,3,9.533,41.435,42.116,22,7,6,6,7,6,6,6,6,6,6,6,6,6,7,6,2
1,9.284,269.238,270.769,19,6,4,5,7,4,4,5,4,5,5,2,3,4,5,7,1,2.149,51.77,54.314,17,5,4,5,4,3,3,6,6,2,2,2,4,1,3,5,3,0,0,12.37,0,2,6,5,5,4,6,5,5,6,1,3,2,4,1,5,2
1,4.318,30.194,31.638,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,8.09,22.253,23.424,15,5,3,2,2,6,1,7,4,1,4,3,3,6,5,2,3,0,0,55.519,0,5,7,7,4,1,3,5,5,7,3,7,3,2,1,1,2
1,19.286,71.202,72.078,15,6,6,6,7,6,6,6,6,6,6,6,7,6,6,7,1,11.087,35.535,37.316,16,4,2,5,3,4,4,6,2,3,6,5,6,2,7,1,3,12.342,170.377,175.448,18,6,6,6,7,1,5,6,6,4,7,6,7,5,7,7,3
1,4.525,95.003,97.232,16,5,6,2,4,3,6,4,5,6,6,5,5,7,4,7,1,2.954,24.528,25.521,28,4,4,5,5,2,2,5,3,5,3,1,6,6,6,6,3,54.085,54.085,57.582,1,2,4,2,5,6,4,3,4,1,3,5,6,5,4,7,2
1,6.657,63.789,70.862,17,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,1,3.877,52.488,55.024,28,6,2,5,3,6,5,4,6,4,6,3,7,7,2,1,3,0,0,14.394,0,3,4,4,5,3,5,2,1,4,3,5,1,4,4,6,2
1,6.554,142.671,143.458,17,7,6,6,7,7,7,7,7,6,4,6,6,6,5,7,1,6.846,25.484,26.72,15,4,2,5,4,5,2,3,4,1,6,2,7,3,3,6,3,0,0,71.523,0,5,6,1,2,7,2,1,2,1,4,5,1,4,3,3,2
1,15.154,167.226,169.437,16,5,6,4,6,4,5,5,6,4,7,6,7,7,5,7,1,1.853,12.893,17.176,19,3,5,2,4,1,2,3,3,6,3,2,5,2,5,6,3,30.706,119.419,120.694,18,4,5,4,5,4,5,6,6,6,7,6,5,7,6,7,2
1,10.246,87.52,91.738,16,5,6,4,6,4,6,6,6,5,7,5,6,7,5,7,1,3.821,26.963,33.315,15,4,2,5,3,6,4,7,6,3,2,2,4,3,6,3,3,20.973,60.617,71.914,2,5,3,5,6,5,4,6,6,4,6,3,5,7,2,4,2
1,8.195,47,52.174,15,5,6,5,5,6,6,7,6,5,6,5,6,5,4,7,1,2.143,20.685,21.919,17,4,4,5,4,6,5,1,3,7,6,1,4,3,5,2,3,0,0,4.125,0,3,1,4,5,7,3,1,1,5,7,7,7,4,3,6,2
1,10.725,38.335,39.044,16,7,2,5,5,7,7,6,4,3,7,5,7,1,7,7,1,8.101,19.96,22.382,15,4,5,1,4,3,4,4,3,2,5,2,6,6,2,6,3,39.66,145.965,146.92,19,7,5,4,7,5,6,5,5,2,7,4,7,2,6,7,2
1,5.968,30.235,31.343,17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,5.344,68.165,69.562,19,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1.693,53.139,56.886,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16.463,65.792,67.49,15,6,6,4,7,3,5,6,5,3,7,5,6,7,3,7,1,46.501,90.331,92.627,17,1,7,2,4,3,2,4,5,4,3,5,5,1,7,3,3,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3.057,38.984,39.926,17,7,7,7,7,6,7,7,6,7,7,7,7,7,6,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.308,93.647,99.955,17,5,6,5,5,5,6,7,6,4,6,4,5,6,5,7,1,7.251,25.378,45.039,15,5,2,4,2,5,6,5,2,7,3,3,2,1,6,4,3,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,86.155,173.22,174.843,18,5,6,3,6,4,5,3,6,5,6,5,5,5,4,7,1,12.981,47.638,55.868,21,3,2,5,6,3,6,4,1,7,6,5,3,1,4,4,3,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.339,52.617,53.563,35,6,7,7,6,6,7,7,5,6,7,7,7,7,7,7,1,4.369,50.134,54.174,36,7,7,7,7,6,7,7,6,6,7,7,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,